,Company,TypeName,Inches,CpuS,Ram,Memorytype,Memory,Gpu,Weight,Cpu,Price
0,Apple,Ultrabook,13.3,2.3,8,SSD,128,Intel Iris Plus Graphics 640,1.37,i5,1339.69
1,Apple,Ultrabook,13.3,1.8,8,Flash Storage,128,Intel HD Graphics 6000,1.34,i5,898.94
2,HP,Notebook,15.6,2.5,8,SSD,256,Intel HD Graphics 620,1.86,i5,575.0
3,Apple,Ultrabook,15.4,2.7,16,SSD,512,AMD Radeon Pro 455,1.83,i7,2537.45
4,Apple,Ultrabook,13.3,3.1,8,SSD,256,Intel Iris Plus Graphics 650,1.37,i5,1803.6
5,Acer,Notebook,15.6,3.0,4,HDD,500,AMD Radeon R5,2.1,9420,400.0
6,Apple,Ultrabook,15.4,2.2,16,Flash Storage,256,Intel Iris Pro Graphics,2.04,i7,2139.97
7,Apple,Ultrabook,13.3,1.8,8,Flash Storage,256,Intel HD Graphics 6000,1.34,i5,1158.7
8,Asus,Ultrabook,14.0,1.8,16,SSD,512,Nvidia GeForce MX150,1.3,i7,1495.0
9,Acer,Ultrabook,14.0,1.6,8,SSD,256,Intel UHD Graphics 620,1.6,i5,770.0
10,HP,Notebook,15.6,2.5,4,HDD,500,Intel HD Graphics 620,1.86,i5,393.9
11,HP,Notebook,15.6,2.0,4,HDD,500,Intel HD Graphics 520,1.86,i3,344.99
12,Apple,Ultrabook,15.4,2.8,16,SSD,256,AMD Radeon Pro 555,1.83,i7,2439.97
13,Dell,Notebook,15.6,2.0,4,SSD,256,AMD Radeon R5 M430,2.2,i3,498.9
14,Apple,Ultrabook,12.0,1.2,8,SSD,256,Intel HD Graphics 615,0.92,M,1262.4
15,Apple,Ultrabook,13.3,2.3,8,SSD,256,Intel Iris Plus Graphics 640,1.37,i5,1518.55
16,Dell,Notebook,15.6,2.7,8,SSD,256,AMD Radeon R5 M430,2.2,i7,745.0
17,Apple,Ultrabook,15.4,2.9,16,SSD,512,AMD Radeon Pro 560,1.83,i7,2821.2
18,Lenovo,Notebook,15.6,2.4,8,HDD,1000,Nvidia GeForce 940MX,2.2,i3,499.0
19,Dell,Ultrabook,13.3,1.6,8,SSD,128,Intel UHD Graphics 620,1.22,i5,979.0
20,Asus,Netbook,11.6,1.44,2,Flash Storage,32,Intel HD Graphics 400,0.98,x5-Z8350,191.9
21,Lenovo,Gaming,15.6,2.5,8,SSD,128,Nvidia GeForce GTX 1050,2.5,i5,999.0
22,HP,Notebook,15.6,1.5,4,HDD,500,AMD Radeon R2,1.86,E2-9000e,258.0
23,Dell,2 in 1 Convertible,13.3,1.6,8,SSD,256,Intel UHD Graphics 620,1.62,i5,819.0
24,HP,Ultrabook,15.6,1.8,8,SSD,256,Intel HD Graphics 620,1.91,i7,659.0
25,Dell,Notebook,15.6,2.0,4,HDD,1000,Intel HD Graphics 520,2.3,i3,418.64
26,Apple,Ultrabook,13.3,1.6,8,Flash Storage,128,Intel HD Graphics 6000,1.35,i5,1099.0
27,Dell,Notebook,15.6,1.6,8,SSD,256,AMD Radeon 530,2.2,i5,800.0
28,Dell,Ultrabook,15.6,1.9,8,SSD,256,Intel UHD Graphics 620,1.88,i7,1298.0
29,HP,Notebook,17.3,1.6,8,HDD,1000,Nvidia GeForce 930MX,2.5,i5,896.0
30,Chuwi,Notebook,15.6,1.44,4,Flash Storage,64,Intel HD Graphics,1.89,x5-Z8300,244.99
31,Asus,Notebook,14.0,1.5,2,Flash Storage,32,AMD Radeon R2,1.65,E2-6110,199.0
32,HP,Notebook,17.3,2.5,4,HDD,500,AMD Radeon 530,2.71,9220,439.0
33,Dell,Ultrabook,13.3,1.8,16,SSD,512,Intel UHD Graphics 620,1.2,i7,1869.0
34,Apple,Ultrabook,13.3,1.6,8,Flash Storage,256,Intel HD Graphics 6000,1.35,i5,998.0
35,Lenovo,Notebook,14.0,1.1,4,Flash Storage,64,Intel HD Graphics 500,1.44,Dual Core,249.0
36,Acer,Notebook,15.6,2.7,4,HDD,1000,Intel HD Graphics 620,2.1,i3,367.0
